interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
2580,4.257942,12.04471,20.01828,28.01961
2590,4.260596,12.04564,20.01885,28.02001
2600,4.263258,12.04659,20.01941,28.02042
2610,4.265929,12.04753,20.01998,28.02082
2620,4.268608,12.04848,20.02055,28.02122
2630,4.271296,12.04943,20.02112,28.02164
2640,4.273993,12.05039,20.0217,28.02205
2650,4.276697,12.05134,20.02227,28.02246
2660,4.279411,12.05231,20.02285,28.02287
2670,4.282133,12.05327,20.02344,28.02329
2680,4.284863,12.05424,20.02402,28.02371
2690,4.287603,12.05521,20.02461,28.02413
2700,4.290349,12.05619,20.02519,28.02454
2710,4.293106,12.05717,20.02578,28.02497
2720,4.295869,12.05816,20.02638,28.02539
2730,4.298642,12.05914,20.02697,28.02581
2740,4.301423,12.06013,20.02757,28.02624
2750,4.304213,12.06113,20.02817,28.02667
2760,4.30701,12.06213,20.02876,28.0271
2770,4.309816,12.06313,20.02937,28.02753
2780,4.31263,12.06413,20.02998,28.02796
2790,4.315453,12.06514,20.03058,28.02839
2800,4.318283,12.06615,20.03119,28.02883
2810,4.321123,12.06717,20.03181,28.02927
2820,4.32397,12.06819,20.03242,28.02971
2830,4.326826,12.06921,20.03303,28.03015
2840,4.32969,12.07024,20.03365,28.03059
2850,4.332561,12.07127,20.03427,28.03103
2860,4.335442,12.0723,20.03489,28.03148
2870,4.33833,12.07334,20.03552,28.03193
2880,4.341227,12.07438,20.03615,28.03237
2890,4.344131,12.07542,20.03677,28.03282
2900,4.347044,12.07647,20.0374,28.03327
2910,4.349964,12.07752,20.03804,28.03373
2920,4.352894,12.07857,20.03867,28.03418
2930,4.355831,12.07963,20.03931,28.03463
2940,4.358776,12.08069,20.03995,28.0351
2950,4.361729,12.08176,20.0406,28.03555
2960,4.36469,12.08283,20.04124,28.03601
2970,4.367659,12.0839,20.04188,28.03647
2980,4.370636,12.08497,20.04253,28.03694
2990,4.373621,12.08605,20.04318,28.0374
3000,4.376614,12.08714,20.04383,28.03787
3010,4.379615,12.08822,20.04449,28.03834
3020,4.382624,12.08931,20.04515,28.03881
3030,4.385641,12.0904,20.04581,28.03928
3040,4.388665,12.0915,20.04647,28.03975
3050,4.391697,12.0926,20.04713,28.04022
3060,4.394738,12.0937,20.0478,28.0407
3070,4.397786,12.09481,20.04846,28.04118
3080,4.400843,12.09592,20.04914,28.04166
3090,4.403906,12.09704,20.0498,28.04214
3100,4.406978,12.09815,20.05048,28.04262
3110,4.410057,12.09928,20.05116,28.0431
3120,4.413145,12.1004,20.05184,28.04359
3130,4.416239,12.10153,20.05252,28.04407
3140,4.419341,12.10266,20.0532,28.04456
3150,4.422451,12.1038,20.05389,28.04505
3160,4.42557,12.10493,20.05457,28.04554
3170,4.428696,12.10608,20.05526,28.04604
3180,4.431828,12.10722,20.05595,28.04653
3190,4.43497,12.10837,20.05665,28.04703
3200,4.438118,12.10952,20.05734,28.04753
3210,4.441275,12.11068,20.05804,28.04802
3220,4.444438,12.11184,20.05874,28.04853
3230,4.447609,12.113,20.05944,28.04903
3240,4.450788,12.11417,20.06015,28.04953
3250,4.453975,12.11534,20.06085,28.05004
3260,4.457169,12.11651,20.06157,28.05054
3270,4.460371,12.11769,20.06227,28.05105
3280,4.46358,12.11887,20.06298,28.05156
3290,4.466796,12.12006,20.0637,28.05207
3300,4.47002,12.12124,20.06442,28.05259
3310,4.473251,12.12243,20.06514,28.0531
3320,4.47649,12.12363,20.06586,28.05362
3330,4.479737,12.12483,20.06658,28.05413
3340,4.48299,12.12603,20.06731,28.05465
3350,4.486251,12.12723,20.06804,28.05517
3360,4.48952,12.12844,20.06877,28.05569
3370,4.492796,12.12965,20.0695,28.05622
3380,4.496078,12.13087,20.07023,28.05674
3390,4.499369,12.13209,20.07097,28.05727
3400,4.502666,12.13331,20.07171,28.0578
3410,4.505972,12.13454,20.07245,28.05833
3420,4.509284,12.13577,20.07319,28.05886
3430,4.512603,12.137,20.07394,28.05939
