time,frequency
1479654683.89,16.9037752648
1479654718.58,16.6737624407
1479654755.19,16.6383758524
1479654771.41,21.6762249694
1479654790.81,16.8143161828
1479654807.48,21.6203409604
1479654829.17,16.5488671398
1479654845.5,21.4806309378
1479654865.63,16.4650411263
1479654882.25,20.9544849779
1479654905.48,16.4396675032
1479654922.5,20.5839680423
1479654946.0,16.3710532558
1479654963.34,20.7336972339
1479654982.47,16.6171401771
1479654999.36,20.8909268437
1479655004.32,17.3747010244
1479655018.27,17.8035090511
1479654986.2,21.6341940901
1479655035.29,20.460741569
1479655041.53,16.6840297625
1479655054.09,17.6574090941
1479655058.39,20.7203093907
1479655071.93,21.0058339946
1479655078.82,17.5925171386
1479655106.43,16.904662411
1479655124.36,20.4901724902
1479655143.74,16.9989852877
1479655161.69,20.4382589259
1479655183.93,17.2196179362
1479655221.35,17.8663322063
1479655238.66,22.6511965922
1479655257.0,16.9284352004
1479655273.87,22.4604378791
1479655218.04,17.4212285425
1479655293.37,17.4602793674
1479655290.1,17.4461649335
1479655310.61,22.4144456754
1479655328.19,17.5731948388
1479655324.95,17.5590804049
1479655381.11,17.0966188387
1479655399.45,20.9163553412
1479655418.73,17.4476975614
1479655436.37,20.7618807032
1479655455.33,17.1106619876
1479655472.71,20.4705893207
1479655492.01,16.9310504696
1479655510.41,20.5970014226
1479655528.69,17.0827449918
1479655546.47,20.3947420596
1479655565.22,16.903734941
1479655582.65,20.2911990832
1479655601.49,17.1507375347
1479655619.01,20.3617712529
1479655639.73,17.2095476761
1479655656.48,20.5158968912
1479655676.93,17.3096392694
1479655694.13,22.3178633841
1479655713.35,17.0238101016
1479655730.16,22.2388439396
1479655751.59,17.2297168814
1479655768.7,21.4944144776
1479655787.91,16.8638108746
1483251660.57,23.1212484994
1483251654.01,21.8652166749
1483251630.58,23.424428595
1483251613.89,20.7535563245
1483251678.45,23.8286687224
1483251718.57,16.8555265243
1483251669.87,22.6303854875
1483251694.26,21.6188185078
1483251735.87,22.0476896641
1483251756.41,16.7023672214
1483251773.87,19.4328711877
1483251776.49,23.1206207973
1483251797.82,17.6439203132
1483251833.09,20.7906409623
