time,frequency,datetime
1448510393.65,18.3408699731,2015-11-26T03:59:53.650000Z
1479655221.12,17.9764179801,2016-11-20T15:20:21.120000Z
1479655217.92,17.4550678872,2016-11-20T15:20:17.920000Z
1479655238.43,22.8703817549,2016-11-20T15:20:38.430000Z
1479655256.97,16.9673532842,2016-11-20T15:20:56.970000Z
1479655235.62,20.2131780559,2016-11-20T15:20:35.620000Z
1479655253.71,16.78235809,2016-11-20T15:20:53.710000Z
1479655273.95,22.5340268563,2016-11-20T15:21:13.950000Z
1479655270.69,20.2468135457,2016-11-20T15:21:10.690000Z
1479655289.95,17.4718856322,2016-11-20T15:21:29.950000Z
1479655293.48,16.6982693654,2016-11-20T15:21:33.480000Z
1479655310.59,22.3994848968,2016-11-20T15:21:50.590000Z
1479655328.48,17.6064275916,2016-11-20T15:22:08.480000Z
1479655325.02,17.6400630815,2016-11-20T15:22:05.020000Z
1479655332.53,23.1058301839,2016-11-20T15:22:12.530000Z
1479655381.31,16.7668255648,2016-11-20T15:23:01.310000Z
1479655399.77,20.5205462333,2016-11-20T15:23:19.770000Z
1479655418.66,17.190632737,2016-11-20T15:23:38.660000Z
1479655436.37,20.7021778786,2016-11-20T15:23:56.370000Z
1479655455.49,16.8879133283,2016-11-20T15:24:15.490000Z
1479655472.78,20.4931743979,2016-11-20T15:24:32.780000Z
1479655492.07,16.9393810426,2016-11-20T15:24:52.070000Z
1479655510.23,20.5839647391,2016-11-20T15:25:10.230000Z
1479655528.52,17.06908153,2016-11-20T15:25:28.520000Z
1479655546.41,20.739605324,2016-11-20T15:25:46.410000Z
1479655565.23,16.8504285497,2016-11-20T15:26:05.230000Z
1479655582.78,20.4490692248,2016-11-20T15:26:22.780000Z
1479655601.77,16.8749926498,2016-11-20T15:26:41.770000Z
1479655619.19,20.5104794752,2016-11-20T15:26:59.190000Z
1479655639.91,16.617069598,2016-11-20T15:27:19.910000Z
1479655656.73,21.01184257,2016-11-20T15:27:36.730000Z
1479655677.06,17.6079309961,2016-11-20T15:27:57.060000Z
1479655673.67,17.5950373916,2016-11-20T15:27:53.670000Z
1479655694.08,22.3785646414,2016-11-20T15:28:14.080000Z
1479655713.19,17.7755478539,2016-11-20T15:28:33.190000Z
1479655729.99,22.1851605747,2016-11-20T15:28:49.990000Z
1479655751.48,17.1566548404,2016-11-20T15:29:11.480000Z
1479655768.79,21.7854588368,2016-11-20T15:29:28.790000Z
1479655787.82,16.8987827515,2016-11-20T15:29:47.820000Z
1571122805.34,20.6010181963,2019-10-15T07:00:05.340000Z
1571122823.31,16.5585604123,2019-10-15T07:00:23.310000Z
1571122826.18,18.0157254274,2019-10-15T07:00:26.180000Z
1571122845.45,22.3558835909,2019-10-15T07:00:45.450000Z
1571122842.5,21.713477509,2019-10-15T07:00:42.500000Z
1571122864.4,16.8875976738,2019-10-15T07:01:04.400000Z
