start_time,Station
2019-08-28T10:00:00.000000Z,AXBA1
2019-08-28T12:00:00.000000Z,AXBA1
2019-08-28T14:00:00.000000Z,AXBA1
2019-08-28T16:00:00.000000Z,AXBA1
2019-08-28T18:00:00.000000Z,AXBA1
2019-08-28T20:00:00.000000Z,AXBA1
2019-08-28T22:00:00.000000Z,AXBA1
2019-08-29T00:00:00.000000Z,AXBA1
2019-08-29T02:00:00.000000Z,AXBA1
2019-08-29T04:00:00.000000Z,AXBA1
2019-08-29T06:00:00.000000Z,AXBA1
2019-08-29T08:00:00.000000Z,AXBA1
2019-08-29T10:00:00.000000Z,AXBA1
2019-08-29T12:00:00.000000Z,AXBA1
2019-08-29T14:00:00.000000Z,AXBA1
2019-08-29T16:00:00.000000Z,AXBA1
2019-08-29T18:00:00.000000Z,AXBA1
2019-08-29T20:00:00.000000Z,AXBA1
2019-08-29T22:00:00.000000Z,AXBA1
2019-08-30T00:00:00.000000Z,AXBA1
2019-08-30T02:00:00.000000Z,AXBA1
2019-08-30T04:00:00.000000Z,AXBA1
2019-08-30T06:00:00.000000Z,AXBA1
2019-08-30T08:00:00.000000Z,AXBA1
2019-08-30T10:00:00.000000Z,AXBA1
2019-08-30T12:00:00.000000Z,AXBA1
2019-08-30T14:00:00.000000Z,AXBA1
2019-08-30T16:00:00.000000Z,AXBA1
2019-08-30T18:00:00.000000Z,AXBA1
2019-08-30T20:00:00.000000Z,AXBA1
2019-08-30T22:00:00.000000Z,AXBA1
2019-08-31T00:00:00.000000Z,AXBA1
2019-08-31T02:00:00.000000Z,AXBA1
2019-08-31T04:00:00.000000Z,AXBA1
2019-08-31T06:00:00.000000Z,AXBA1
2019-08-31T08:00:00.000000Z,AXBA1
2019-08-31T10:00:00.000000Z,AXBA1
2019-08-31T12:00:00.000000Z,AXBA1
2019-08-31T14:00:00.000000Z,AXBA1
2019-08-31T16:00:00.000000Z,AXBA1
2019-08-31T18:00:00.000000Z,AXBA1
2019-08-31T20:00:00.000000Z,AXBA1
2019-08-31T22:00:00.000000Z,AXBA1
2019-09-01T00:00:00.000000Z,AXBA1
2019-09-01T02:00:00.000000Z,AXBA1
2019-09-01T04:00:00.000000Z,AXBA1
2019-09-01T06:00:00.000000Z,AXBA1
2019-09-01T08:00:00.000000Z,AXBA1
2019-09-01T10:00:00.000000Z,AXBA1
2019-09-01T12:00:00.000000Z,AXBA1
2019-09-01T14:00:00.000000Z,AXBA1
2019-09-01T16:00:00.000000Z,AXBA1
2019-09-01T18:00:00.000000Z,AXBA1
2019-09-01T20:00:00.000000Z,AXBA1
2019-09-01T22:00:00.000000Z,AXBA1
2019-09-02T00:00:00.000000Z,AXBA1
2019-09-02T02:00:00.000000Z,AXBA1
2019-09-02T04:00:00.000000Z,AXBA1
2019-09-02T06:00:00.000000Z,AXBA1
2019-09-02T08:00:00.000000Z,AXBA1
2019-09-02T10:00:00.000000Z,AXBA1
2019-09-02T12:00:00.000000Z,AXBA1
2019-09-02T14:00:00.000000Z,AXBA1
2019-09-02T16:00:00.000000Z,AXBA1
2019-09-02T18:00:00.000000Z,AXBA1
2019-09-02T20:00:00.000000Z,AXBA1
2019-09-02T22:00:00.000000Z,AXBA1
2019-09-03T00:00:00.000000Z,AXBA1
2019-09-03T02:00:00.000000Z,AXBA1
2019-09-03T04:00:00.000000Z,AXBA1
2019-09-03T06:00:00.000000Z,AXBA1
2019-09-03T08:00:00.000000Z,AXBA1
2019-09-03T10:00:00.000000Z,AXBA1
2019-09-03T12:00:00.000000Z,AXBA1
2019-09-03T14:00:00.000000Z,AXBA1
2019-09-03T16:00:00.000000Z,AXBA1
2019-09-03T18:00:00.000000Z,AXBA1
2019-09-03T22:00:00.000000Z,AXBA1
2019-09-04T00:00:00.000000Z,AXBA1
2019-09-04T02:00:00.000000Z,AXBA1
2019-09-04T04:00:00.000000Z,AXBA1
2019-09-04T06:00:00.000000Z,AXBA1
2019-09-04T08:00:00.000000Z,AXBA1
2019-09-04T10:00:00.000000Z,AXBA1
2019-09-04T12:00:00.000000Z,AXBA1
2019-09-04T14:00:00.000000Z,AXBA1
2019-09-04T16:00:00.000000Z,AXBA1
2020-04-09T18:00:00.000000Z,AXBA1
2019-09-05T06:00:00.000000Z,AXBA1
2019-09-05T08:00:00.000000Z,AXBA1
2019-09-05T10:00:00.000000Z,AXBA1
2019-09-06T02:00:00.000000Z,AXBA1
2019-09-06T04:00:00.000000Z,AXBA1
2019-09-06T06:00:00.000000Z,AXBA1
2019-09-06T08:00:00.000000Z,AXBA1
2019-09-07T08:00:00.000000Z,AXBA1
2019-09-07T10:00:00.000000Z,AXBA1
2019-09-07T12:00:00.000000Z,AXBA1
2019-09-07T14:00:00.000000Z,AXBA1
2019-09-07T16:00:00.000000Z,AXBA1
2019-09-07T18:00:00.000000Z,AXBA1
2019-09-07T20:00:00.000000Z,AXBA1
2019-09-07T22:00:00.000000Z,AXBA1
2019-09-08T00:00:00.000000Z,AXBA1
2019-09-08T02:00:00.000000Z,AXBA1
2019-09-08T04:00:00.000000Z,AXBA1
2019-09-08T06:00:00.000000Z,AXBA1
2019-09-08T08:00:00.000000Z,AXBA1
2019-09-08T10:00:00.000000Z,AXBA1
2019-09-08T12:00:00.000000Z,AXBA1
2019-09-08T14:00:00.000000Z,AXBA1
2019-09-08T16:00:00.000000Z,AXBA1
2019-09-08T18:00:00.000000Z,AXBA1
2019-09-08T20:00:00.000000Z,AXBA1
2019-09-08T22:00:00.000000Z,AXBA1
2019-09-09T04:00:00.000000Z,AXBA1
2019-09-09T06:00:00.000000Z,AXBA1
2019-09-09T08:00:00.000000Z,AXBA1
2019-09-09T10:00:00.000000Z,AXBA1
2019-09-09T12:00:00.000000Z,AXBA1
2019-09-09T14:00:00.000000Z,AXBA1
2019-09-09T16:00:00.000000Z,AXBA1
2019-09-09T18:00:00.000000Z,AXBA1
2019-09-09T20:00:00.000000Z,AXBA1
2019-09-10T16:00:00.000000Z,AXBA1
2019-09-10T18:00:00.000000Z,AXBA1
2019-09-10T20:00:00.000000Z,AXBA1
2019-09-10T22:00:00.000000Z,AXBA1
2019-09-11T00:00:00.000000Z,AXBA1
2019-09-11T16:00:00.000000Z,AXBA1
2019-09-11T18:00:00.000000Z,AXBA1
2019-09-11T20:00:00.000000Z,AXBA1
2019-09-11T22:00:00.000000Z,AXBA1
2019-09-12T00:00:00.000000Z,AXBA1
2019-09-13T08:00:00.000000Z,AXBA1
2019-09-13T10:00:00.000000Z,AXBA1
2019-09-13T12:00:00.000000Z,AXBA1
2019-09-13T14:00:00.000000Z,AXBA1
2019-09-13T16:00:00.000000Z,AXBA1
2019-09-13T18:00:00.000000Z,AXBA1
2019-09-13T20:00:00.000000Z,AXBA1
2019-09-13T22:00:00.000000Z,AXBA1
2019-09-14T00:00:00.000000Z,AXBA1
2019-09-14T16:00:00.000000Z,AXBA1
2019-09-14T18:00:00.000000Z,AXBA1
2019-09-14T20:00:00.000000Z,AXBA1
2019-09-14T22:00:00.000000Z,AXBA1
2019-09-15T00:00:00.000000Z,AXBA1
2019-09-15T16:00:00.000000Z,AXBA1
2019-09-15T18:00:00.000000Z,AXBA1
2019-09-15T20:00:00.000000Z,AXBA1
2019-09-15T22:00:00.000000Z,AXBA1
2019-09-16T00:00:00.000000Z,AXBA1
2019-09-16T08:00:00.000000Z,AXBA1
2019-09-16T10:00:00.000000Z,AXBA1
2019-09-16T12:00:00.000000Z,AXBA1
2019-09-16T14:00:00.000000Z,AXBA1
2019-09-16T16:00:00.000000Z,AXBA1
2019-09-16T18:00:00.000000Z,AXBA1
2019-09-16T20:00:00.000000Z,AXBA1
2019-09-16T22:00:00.000000Z,AXBA1
2019-09-17T00:00:00.000000Z,AXBA1
2019-09-17T14:00:00.000000Z,AXBA1
2019-09-17T16:00:00.000000Z,AXBA1
2019-09-17T18:00:00.000000Z,AXBA1
2019-09-17T20:00:00.000000Z,AXBA1
2019-09-17T22:00:00.000000Z,AXBA1
2019-09-18T00:00:00.000000Z,AXBA1
2019-09-18T14:00:00.000000Z,AXBA1
2019-09-18T16:00:00.000000Z,AXBA1
2019-09-18T18:00:00.000000Z,AXBA1
2019-09-18T20:00:00.000000Z,AXBA1
2019-09-18T22:00:00.000000Z,AXBA1
2019-09-19T00:00:00.000000Z,AXBA1
2019-09-19T14:00:00.000000Z,AXBA1
2019-09-19T16:00:00.000000Z,AXBA1
2019-09-19T18:00:00.000000Z,AXBA1
2019-09-19T20:00:00.000000Z,AXBA1
2019-09-20T14:00:00.000000Z,AXBA1
2019-09-20T16:00:00.000000Z,AXBA1
2019-09-20T18:00:00.000000Z,AXBA1
2019-09-20T20:00:00.000000Z,AXBA1
2019-09-20T22:00:00.000000Z,AXBA1
2019-09-21T00:00:00.000000Z,AXBA1
2019-09-21T02:00:00.000000Z,AXBA1
2019-09-21T04:00:00.000000Z,AXBA1
2019-09-21T06:00:00.000000Z,AXBA1
2019-09-23T16:00:00.000000Z,AXBA1
2019-09-23T18:00:00.000000Z,AXBA1
2019-09-23T20:00:00.000000Z,AXBA1
2019-09-23T22:00:00.000000Z,AXBA1
2019-09-24T08:00:00.000000Z,AXBA1
2019-09-24T10:00:00.000000Z,AXBA1
2019-09-24T12:00:00.000000Z,AXBA1
2019-09-24T14:00:00.000000Z,AXBA1
2019-09-24T16:00:00.000000Z,AXBA1
2019-09-24T18:00:00.000000Z,AXBA1
2019-09-24T20:00:00.000000Z,AXBA1
2019-09-24T22:00:00.000000Z,AXBA1
2019-09-25T00:00:00.000000Z,AXBA1
2019-09-25T02:00:00.000000Z,AXBA1
2019-09-25T04:00:00.000000Z,AXBA1
2019-09-25T06:00:00.000000Z,AXBA1
2019-09-25T08:00:00.000000Z,AXBA1
2019-09-25T10:00:00.000000Z,AXBA1
2019-09-25T12:00:00.000000Z,AXBA1
2019-09-25T14:00:00.000000Z,AXBA1
2019-09-25T16:00:00.000000Z,AXBA1
2019-09-25T18:00:00.000000Z,AXBA1
2019-09-25T20:00:00.000000Z,AXBA1
2019-09-25T22:00:00.000000Z,AXBA1
2019-09-26T00:00:00.000000Z,AXBA1
2019-09-26T02:00:00.000000Z,AXBA1
2019-09-26T04:00:00.000000Z,AXBA1
2019-09-26T14:00:00.000000Z,AXBA1
2019-09-26T16:00:00.000000Z,AXBA1
2019-09-26T18:00:00.000000Z,AXBA1
2019-09-26T20:00:00.000000Z,AXBA1
2019-09-26T22:00:00.000000Z,AXBA1
2019-09-27T00:00:00.000000Z,AXBA1
2019-09-27T02:00:00.000000Z,AXBA1
2019-09-27T04:00:00.000000Z,AXBA1
2019-09-27T06:00:00.000000Z,AXBA1
2019-09-27T08:00:00.000000Z,AXBA1
2019-09-27T10:00:00.000000Z,AXBA1
2019-09-27T12:00:00.000000Z,AXBA1
2019-09-27T14:00:00.000000Z,AXBA1
2019-09-27T16:00:00.000000Z,AXBA1
2019-09-27T18:00:00.000000Z,AXBA1
2019-09-27T20:00:00.000000Z,AXBA1
2019-09-27T22:00:00.000000Z,AXBA1
2019-09-28T00:00:00.000000Z,AXBA1
2019-09-28T02:00:00.000000Z,AXBA1
2019-09-28T04:00:00.000000Z,AXBA1
2019-09-28T06:00:00.000000Z,AXBA1
2019-09-28T08:00:00.000000Z,AXBA1
2019-09-28T10:00:00.000000Z,AXBA1
2019-09-28T12:00:00.000000Z,AXBA1
2019-09-28T14:00:00.000000Z,AXBA1
2019-09-28T16:00:00.000000Z,AXBA1
2019-09-28T18:00:00.000000Z,AXBA1
2019-09-28T20:00:00.000000Z,AXBA1
2019-09-28T22:00:00.000000Z,AXBA1
2019-09-29T00:00:00.000000Z,AXBA1
2019-09-29T02:00:00.000000Z,AXBA1
2019-09-29T04:00:00.000000Z,AXBA1
2019-09-29T06:00:00.000000Z,AXBA1
2019-09-29T08:00:00.000000Z,AXBA1
2019-09-29T10:00:00.000000Z,AXBA1
2019-09-29T12:00:00.000000Z,AXBA1
2019-09-29T14:00:00.000000Z,AXBA1
2019-09-29T16:00:00.000000Z,AXBA1
2019-09-29T20:00:00.000000Z,AXBA1
2019-09-29T22:00:00.000000Z,AXBA1
2019-09-30T16:00:00.000000Z,AXBA1
2019-09-30T18:00:00.000000Z,AXBA1
2019-09-30T20:00:00.000000Z,AXBA1
2019-09-30T22:00:00.000000Z,AXBA1
2019-10-01T00:00:00.000000Z,AXBA1
2020-04-26T18:00:00.000000Z,AXBA1
2020-04-26T20:00:00.000000Z,AXBA1
2020-04-26T22:00:00.000000Z,AXBA1
2020-04-27T00:00:00.000000Z,AXBA1
2020-04-27T02:00:00.000000Z,AXBA1
2020-04-27T04:00:00.000000Z,AXBA1
2020-04-27T06:00:00.000000Z,AXBA1
2020-04-27T08:00:00.000000Z,AXBA1
2020-04-27T10:00:00.000000Z,AXBA1
2020-04-27T12:00:00.000000Z,AXBA1
2020-04-27T14:00:00.000000Z,AXBA1
2020-04-27T16:00:00.000000Z,AXBA1
2020-04-27T18:00:00.000000Z,AXBA1
2020-04-27T20:00:00.000000Z,AXBA1
2020-04-27T22:00:00.000000Z,AXBA1
2020-04-28T00:00:00.000000Z,AXBA1
2020-04-28T02:00:00.000000Z,AXBA1
2020-04-28T04:00:00.000000Z,AXBA1
2020-04-28T06:00:00.000000Z,AXBA1
2020-04-28T08:00:00.000000Z,AXBA1
2020-04-28T10:00:00.000000Z,AXBA1
2020-04-28T12:00:00.000000Z,AXBA1
2020-04-28T14:00:00.000000Z,AXBA1
2020-04-28T16:00:00.000000Z,AXBA1
2020-04-28T18:00:00.000000Z,AXBA1
2020-04-28T20:00:00.000000Z,AXBA1
2020-04-28T22:00:00.000000Z,AXBA1
