duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,quality
0.24,1441851660.52,2015-09-10T02:21:00.520000Z,0.690982408692,3.45491204346,1441851660.44,2015-09-10T02:21:00.440000Z,1441851660.28,2015-09-10T02:21:00.280000Z,,,21.4305677018,21.2617867077,21.4571686581,,,,0.5,
0.44,1441851726.24,2015-09-10T02:22:06.240000Z,2.51013275333,12.5506637667,1441851726.04,2015-09-10T02:22:06.040000Z,1441851725.8,2015-09-10T02:22:05.800000Z,,,18.7833735206,18.7091486821,18.9397618428,,,,0.5,
0.16,1441851728.16,2015-09-10T02:22:08.160000Z,0.420501020648,2.10250510324,1441851728.12,2015-09-10T02:22:08.120000Z,1441851728.0,2015-09-10T02:22:08.000000Z,,,19.134490018,19.3041543418,19.7592474635,,,,0.5,
0.2,1441851743.8,2015-09-10T02:22:23.800000Z,0.982371568008,4.91185784004,1441851743.72,2015-09-10T02:22:23.720000Z,1441851743.6,2015-09-10T02:22:23.600000Z,,,19.5987697436,19.9547073452,19.5752861094,,,,0.5,
0.24,1441851750.64,2015-09-10T02:22:30.640000Z,0.603176055892,3.01588027946,1441851750.56,2015-09-10T02:22:30.560000Z,1441851750.4,2015-09-10T02:22:30.400000Z,,,22.2589173872,21.8397881162,22.5816110972,,,,0.5,
0.12,1441851759.48,2015-09-10T02:22:39.480000Z,0.13960258405,0.698012920248,1441851759.44,2015-09-10T02:22:39.440000Z,1441851759.36,2015-09-10T02:22:39.360000Z,,,22.0563853959,20.7386268141,21.6851222509,,,,0.5,
0.56,1441851762.0,2015-09-10T02:22:42.000000Z,1.80544099088,9.02720495441,1441851761.84,2015-09-10T02:22:41.840000Z,1441851761.44,2015-09-10T02:22:41.440000Z,,,20.6949217101,20.8791603191,20.7883692031,,,,0.5,
0.24,1441851764.92,2015-09-10T02:22:44.920000Z,0.909013788313,4.54506894157,1441851764.84,2015-09-10T02:22:44.840000Z,1441851764.68,2015-09-10T02:22:44.680000Z,,,22.0887635512,22.4967983466,21.2658393242,,,,0.5,
0.28,1441851770.2,2015-09-10T02:22:50.200000Z,0.610571316208,3.05285658104,1441851770.08,2015-09-10T02:22:50.080000Z,1441851769.92,2015-09-10T02:22:49.920000Z,,,20.5618099055,19.5915113349,21.3380670859,,,,0.5,
0.2,1441851776.56,2015-09-10T02:22:56.560000Z,0.192361744811,0.961808724053,1441851776.48,2015-09-10T02:22:56.480000Z,1441851776.36,2015-09-10T02:22:56.360000Z,,,21.0527362588,21.4324754452,21.5531444567,,,,0.5,
0.44,1441851779.08,2015-09-10T02:22:59.080000Z,11.2364377989,56.1821889944,1441851778.92,2015-09-10T02:22:58.920000Z,1441851778.64,2015-09-10T02:22:58.640000Z,,,19.1336925456,18.9101701854,19.6101338319,,,,0.5,
0.48,1441851792.76,2015-09-10T02:23:12.760000Z,1.41072979368,7.05364896842,1441851792.52,2015-09-10T02:23:12.520000Z,1441851792.28,2015-09-10T02:23:12.280000Z,,,22.5531313697,22.3396115409,22.685204225,,,,0.5,
0.24,1441851795.48,2015-09-10T02:23:15.480000Z,0.736617275996,3.68308637998,1441851795.36,2015-09-10T02:23:15.360000Z,1441851795.24,2015-09-10T02:23:15.240000Z,,,19.4380362047,18.9839647465,21.1441380047,,,,0.5,
0.28,1441851799.96,2015-09-10T02:23:19.960000Z,0.699793137101,3.4989656855,1441851799.84,2015-09-10T02:23:19.840000Z,1441851799.68,2015-09-10T02:23:19.680000Z,,,22.1177187117,21.4660960804,22.3420825185,,,,0.5,
