duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
0.55,,2019-07-15T07:50:39.850000Z,136.428041319,682.140206595,1563177039.6,2019-07-15T07:50:39.600000Z,,2019-07-15T07:50:39.300000Z,,,18.5172522325,18.7127709371,18.2139515291,,,,350,-145.561738863
0.55,,2019-07-15T07:51:08.900000Z,111.57944688,557.897234402,1563177068.6,2019-07-15T07:51:08.600000Z,,2019-07-15T07:51:08.350000Z,,,18.320510992,18.3680994999,18.3425590816,,,,350,-145.689267531
1.05,,2019-07-15T07:51:38.450000Z,88.6710774076,443.355387038,1563177097.75,2019-07-15T07:51:37.750000Z,,2019-07-15T07:51:37.400000Z,,,18.9710491543,19.1158415504,19.1125154399,,,,350,-145.553136262
0.6,,2019-07-15T10:01:36.100000Z,86.3374065569,431.687032784,1563184895.8,2019-07-15T10:01:35.800000Z,,2019-07-15T10:01:35.500000Z,,,20.6597214148,20.4467348165,21.0376433363,,,,350,-148.836147499
1.65,,2019-07-15T10:02:16.950000Z,71.8553456031,359.276728015,1563184936.7,2019-07-15T10:02:16.700000Z,,2019-07-15T10:02:15.300000Z,,,20.6697420285,21.2022880044,21.3453851337,,,,350,-148.310934839
0.85,,2019-07-15T10:02:44.650000Z,229.328072696,1146.64036348,1563184964.25,2019-07-15T10:02:44.250000Z,,2019-07-15T10:02:43.800000Z,,,21.9767930362,22.0198285619,22.1103536155,,,,350,-148.347253255
0.8,,2019-07-15T10:03:12.500000Z,116.630196379,583.150981895,1563184992.1,2019-07-15T10:03:12.100000Z,,2019-07-15T10:03:11.700000Z,,,20.7398087264,20.5059842307,21.1775022927,,,,350,-149.574306486
0.95,,2019-07-15T10:03:28.450000Z,119.806126938,599.030634691,1563185008.0,2019-07-15T10:03:28.000000Z,,2019-07-15T10:03:27.500000Z,,,21.7185742708,22.4038373358,22.367262329,,,,350,-148.727138056
1.5,,2019-07-15T10:03:57.650000Z,142.179673332,710.898366661,1563185036.7,2019-07-15T10:03:56.700000Z,,2019-07-15T10:03:56.150000Z,,,21.3304536136,21.6095858455,21.5179781109,,,,350,-147.861445275
0.75,,2019-07-15T10:05:33.600000Z,207.80143647,1039.00718235,1563185133.15,2019-07-15T10:05:33.150000Z,,2019-07-15T10:05:32.850000Z,,,21.557306697,22.1700613293,21.9568175994,,,,350,-148.27669109
0.35,,2019-07-15T10:06:11.850000Z,77.5897135931,387.948567966,1563185171.7,2019-07-15T10:06:11.700000Z,,2019-07-15T10:06:11.500000Z,,,17.8867831164,17.7396549013,18.1018395904,,,,350,-146.565421167
0.5,,2019-07-15T10:06:31.100000Z,90.5085293711,452.542646855,1563185190.85,2019-07-15T10:06:30.850000Z,,2019-07-15T10:06:30.600000Z,,,21.4105559766,21.0925967438,21.5469104561,,,,350,-149.35360085
1.1,,2019-07-15T10:07:01.600000Z,134.704563532,673.522817661,1563185220.9,2019-07-15T10:07:00.900000Z,,2019-07-15T10:07:00.500000Z,,,21.9793615235,22.4489542488,22.6165404661,,,,350,-148.616317996
0.6,,2019-07-15T10:07:30.900000Z,73.5304656193,367.652328097,1563185250.6,2019-07-15T10:07:30.600000Z,,2019-07-15T10:07:30.300000Z,,,20.7370020606,21.0335951695,21.3083267938,,,,350,-149.974219246
0.6,,2019-07-15T10:10:17.350000Z,146.069976255,730.349881274,1563185417.05,2019-07-15T10:10:17.050000Z,,2019-07-15T10:10:16.750000Z,,,21.2688838706,21.5923749768,20.6226357354,,,,350,-147.730350656
0.4,,2019-07-15T10:10:46.750000Z,131.074653242,655.373266212,1563185446.55,2019-07-15T10:10:46.550000Z,,2019-07-15T10:10:46.350000Z,,,20.5842915127,19.9753855868,21.6183880947,,,,350,-148.242380462
0.55,,2019-07-15T10:11:30.050000Z,118.563240621,592.816203107,1563185489.75,2019-07-15T10:11:29.750000Z,,2019-07-15T10:11:29.500000Z,,,20.0147137919,20.3933115934,19.8753871617,,,,350,-148.179183822
0.55,,2019-07-15T10:12:14.050000Z,115.960371192,579.801855961,1563185533.75,2019-07-15T10:12:13.750000Z,,2019-07-15T10:12:13.500000Z,,,20.647938262,20.5752344686,20.9530740226,,,,350,-146.907590862
0.95,,2019-07-15T10:12:57.600000Z,187.521050741,937.605253707,1563185577.1,2019-07-15T10:12:57.100000Z,,2019-07-15T10:12:56.650000Z,,,21.6333319191,22.4334288822,22.436987939,,,,350,-147.841088343
1.05,,2019-07-15T10:13:26.350000Z,70.232978663,351.164893315,1563185605.5,2019-07-15T10:13:25.500000Z,,2019-07-15T10:13:25.300000Z,,,20.8337632434,21.8030530417,21.7293428251,,,,350,-149.188234032
0.8,,2019-07-15T10:14:37.750000Z,103.24264994,516.213249701,1563185677.3,2019-07-15T10:14:37.300000Z,,2019-07-15T10:14:36.950000Z,,,21.2743655294,21.2637334474,21.8265495738,,,,350,-148.627914192
0.9,,2019-07-15T10:15:34.850000Z,122.891312342,614.456561709,1563185734.45,2019-07-15T10:15:34.450000Z,,2019-07-15T10:15:33.950000Z,,,21.1100141373,22.1119855838,22.0703789485,,,,350,-148.980071907
0.75,,2019-07-15T10:15:50.150000Z,104.299432231,521.497161157,1563185749.8,2019-07-15T10:15:49.800000Z,,2019-07-15T10:15:49.400000Z,,,21.4293643583,22.1117281651,22.1333799876,,,,350,-149.445781246
0.65,,2019-07-15T10:16:18.700000Z,175.246247,876.231234999,1563185778.4,2019-07-15T10:16:18.400000Z,,2019-07-15T10:16:18.050000Z,,,21.2699734335,21.4122257741,21.8284324382,,,,350,-149.301470465
1.05,,2019-07-15T10:17:01.450000Z,212.766222998,1063.83111499,1563185821.0,2019-07-15T10:17:01.000000Z,,2019-07-15T10:17:00.400000Z,,,21.7359804616,22.0504587189,21.9968455238,,,,350,-147.972215902
0.55,,2019-07-15T10:19:19.600000Z,229.113846846,1145.56923423,1563185959.35,2019-07-15T10:19:19.350000Z,,2019-07-15T10:19:19.050000Z,,,21.7126009955,21.9947859811,22.2925808829,,,,350,-148.854554989
0.55,,2019-07-15T10:21:29.700000Z,76.796373265,383.981866325,1563186089.45,2019-07-15T10:21:29.450000Z,,2019-07-15T10:21:29.150000Z,,,20.5661955994,20.3626309776,21.187465013,,,,350,-147.688766593
1.05,,2019-07-15T10:23:24.150000Z,113.284891419,566.424457093,1563186203.8,2019-07-15T10:23:23.800000Z,,2019-07-15T10:23:23.100000Z,,,21.8482877179,22.4823034142,22.4159826361,,,,350,-149.305458315
0.45,,2019-07-15T10:25:23.050000Z,101.692121025,508.460605127,1563186322.85,2019-07-15T10:25:22.850000Z,,2019-07-15T10:25:22.600000Z,,,21.0527873018,21.2084171696,21.281718138,,,,350,-147.445773025
1.2,,2019-07-15T10:27:26.850000Z,84.4671813582,422.335906791,1563186446.4,2019-07-15T10:27:26.400000Z,,2019-07-15T10:27:25.650000Z,,,20.9915501487,21.5287948868,20.9596588865,,,,350,-150.700278401
0.45,,2019-07-15T10:29:23.500000Z,112.8368054,564.184027001,1563186563.3,2019-07-15T10:29:23.300000Z,,2019-07-15T10:29:23.050000Z,,,22.205118858,22.4941396516,22.3465002762,,,,350,-149.47812896
0.55,,2019-07-15T10:30:24.100000Z,97.0045736074,485.022868037,1563186623.8,2019-07-15T10:30:23.800000Z,,2019-07-15T10:30:23.550000Z,,,20.7071455882,21.6074575412,20.9088553215,,,,350,-149.019937704
1.05,,2019-07-15T10:31:22.700000Z,88.4002682778,442.001341389,1563186682.35,2019-07-15T10:31:22.350000Z,,2019-07-15T10:31:21.650000Z,,,20.6519741399,21.0879317725,21.1359632772,,,,350,-147.513787818
0.65,,2019-07-15T10:32:24.200000Z,280.58699271,1402.93496355,1563186743.85,2019-07-15T10:32:23.850000Z,,2019-07-15T10:32:23.550000Z,,,22.3090272525,22.4283193717,22.7798717307,,,,350,-146.802283305
0.55,,2019-07-15T10:33:24.200000Z,71.49485976,357.4742988,1563186803.95,2019-07-15T10:33:23.950000Z,,2019-07-15T10:33:23.650000Z,,,21.2152777942,21.4679651373,21.3978485165,,,,350,-147.871312657
0.8,,2019-07-15T10:34:27.050000Z,114.773173155,573.865865777,1563186866.6,2019-07-15T10:34:26.600000Z,,2019-07-15T10:34:26.250000Z,,,21.1867332925,21.8685330775,21.6665599556,,,,350,-149.590311617
1.3,,2019-07-15T10:35:27.600000Z,360.926622781,1804.63311391,1563186926.9,2019-07-15T10:35:26.900000Z,,2019-07-15T10:35:26.300000Z,,,22.0115678157,22.2894321058,22.4705977727,,,,350,-148.127553714
1.3,,2019-07-15T10:36:27.900000Z,225.654623392,1128.27311696,1563186987.4,2019-07-15T10:36:27.400000Z,,2019-07-15T10:36:26.600000Z,,,22.164364397,22.6689047697,22.5737957281,,,,350,-148.469458946
0.85,,2019-07-15T10:37:20.900000Z,244.852298957,1224.26149479,1563187040.45,2019-07-15T10:37:20.450000Z,,2019-07-15T10:37:20.050000Z,,,20.0375901025,20.2046534714,20.4133516066,,,,350,-144.960951121
0.9,,2019-07-15T10:38:21.100000Z,201.804643528,1009.02321764,1563187100.55,2019-07-15T10:38:20.550000Z,,2019-07-15T10:38:20.200000Z,,,19.3980221356,19.4680915559,19.5155890702,,,,350,-144.694496593
0.75,,2019-07-15T10:39:23.200000Z,254.010971186,1270.05485593,1563187162.85,2019-07-15T10:39:22.850000Z,,2019-07-15T10:39:22.450000Z,,,20.8819201074,21.7275775785,21.48706013,,,,350,-147.902821212
2.6,,2019-07-15T10:40:28.300000Z,90.7749822545,453.874911273,1563187227.85,2019-07-15T10:40:27.850000Z,,2019-07-15T10:40:25.700000Z,,,21.3651798733,21.5253688747,21.4939893663,,,,350,-148.86111511
0.85,,2019-07-15T10:41:30.300000Z,145.378023522,726.89011761,1563187289.85,2019-07-15T10:41:29.850000Z,,2019-07-15T10:41:29.450000Z,,,20.6998020402,21.3237135182,21.4670391536,,,,350,-149.109645095
0.55,,2019-07-15T10:42:27.700000Z,107.086475008,535.432375039,1563187347.45,2019-07-15T10:42:27.450000Z,,2019-07-15T10:42:27.150000Z,,,20.7511933958,20.7178931571,21.1744444889,,,,350,-147.359929762
0.5,,2019-07-15T10:43:24.950000Z,221.658798793,1108.29399396,1563187404.75,2019-07-15T10:43:24.750000Z,,2019-07-15T10:43:24.450000Z,,,21.6026719571,21.7365231565,21.9497056517,,,,350,-147.128704944
0.45,,2019-07-15T10:44:25.050000Z,141.153213709,705.766068543,1563187464.85,2019-07-15T10:44:24.850000Z,,2019-07-15T10:44:24.600000Z,,,20.2508501033,20.1573342471,20.932946269,,,,350,-147.235235011
