time,frequency
1483252699.38,21.1128615766
1483252727.04,16.8829890499
1483252736.21,21.229146732
1483252745.03,20.7640061105
1483252764.47,16.8975246943
1483252782.35,20.2407229113
1483252774.12,20.7519325725
1483252824.1,16.6779789896
1483252820.84,20.3109052255
1483252842.54,21.0468859716
1483252848.77,17.1007764395
1483252865.6,20.3109052255
1483252858.84,20.3735418847
1483252880.97,21.7045708936
1483252885.21,16.8032523081
1483252877.71,16.6153423303
1483252863.17,16.8345706377
1483252841.03,16.6779789896
1483252901.94,21.0380863524
1483252921.49,17.0867109065
1483252939.39,21.3024906573
1483252931.11,20.8177494316
1483252957.73,18.8347171446
1483252978.36,18.4674889433
1483252995.99,21.1075623482
1483253016.12,18.6850110253
1483253010.97,20.5945514798
1483253024.85,17.7159904961
1483253034.15,21.3925683862
1483253042.98,20.7798054045
1483253061.38,17.0034754012
1483253054.44,16.604466948
1483253072.41,21.991081066
1483253077.67,21.0648114425
1483253111.93,16.7872712412
1483253106.36,21.7464686866
1483253129.99,20.0980990812
1483253144.36,20.1403649685
1483253150.75,17.7171207622
1483253169.11,20.5912010999
1483253164.65,16.4773214008
1483253126.36,16.5900304337
1483253178.9,21.4365188463
1483253189.1,17.9284501988
1483253207.28,20.7849500637
1483253201.28,16.0839440688
1483253226.95,17.7377181647
1483253243.15,20.8308882331
1483253263.54,17.0486456247
1483253257.0,20.3868192629
1483253279.5,20.677761002
1483253287.6,20.9227645717
1483253303.32,18.9449159187
1483253320.78,21.2058637369
1483253340.7,18.8538710401
1483253358.02,21.2665603226
1483253377.1,17.124018347
1483253395.5,20.3409373903
1483253364.51,19.976757876
1483253346.71,17.1391924934
1483253326.05,21.2210378833
1483253307.01,16.9571027362
1512453605.11,16.9424956042
1512453638.75,16.5769709344
1512453657.17,20.567281913
1512453678.44,16.7445030747
1512453697.14,19.9885345191
1512453720.07,16.698812491
1512453738.91,19.851462768
1512453759.59,18.9840729683
1512453775.41,21.2856454675
1512453800.64,17.2265085144
1512453818.51,20.7555863465
1512453837.96,16.5290623025
1512453923.62,17.7762112624
1512453942.66,20.4354032351
1512453964.17,17.0211320602
1512453982.48,19.9757898077
1512454003.77,16.8898139381
1512454020.28,21.6172663341
1512454043.44,17.4315011918
1512454062.18,19.7207535515
1512454083.5,17.5168235219
1512454101.68,19.6789067787
1512454124.99,18.4095546731
1512454140.57,21.1156459752
1512454164.7,17.5447213704
1512454183.15,20.5018933088
1512454215.09,16.2753780067
1512454234.04,20.2722179234
1512454255.96,16.2914295726
1512454265.26,21.058744654
1512454395.82,17.3488925039
1512454414.53,20.6490592456
1512454435.9,17.0237529234
1512454454.41,22.1447013157
1512454474.63,17.2513506298
1512454494.24,20.6731714413
1512454525.6,16.9186309394
1512454544.4,20.4451629088
1512454565.8,17.2530434537
1512454724.36,17.0428269963
1512454740.55,21.2499805749
1512454763.4,17.1986474992
1512454782.47,20.6613253417
1512454822.17,21.1894885654
1512454845.61,16.5988796287
1512454861.39,21.3329450946
1512454885.98,17.0866318282
1512454901.91,20.3000580839
1512454940.59,20.271366778
1512454962.5,18.2773210211
1512455011.19,20.4910377455
1512454994.01,18.2343251041
1512455033.8,18.3818226623
1512455052.41,20.4762879897
1512455073.53,18.3523231507
1512455091.39,20.9777796878
1512455112.17,17.4968373127
1512455130.18,20.8338780139
1512455164.81,20.7239620253
1512455187.8,17.8249278253
1512455149.04,18.0722387997
1512455202.76,21.6582479286
1512455227.04,16.8356839277
