duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
0.75,,2020-03-01T10:56:39.250000Z,257.51265906,1287.5632953,1583060198.9,2020-03-01T10:56:38.900000Z,,2020-03-01T10:56:38.500000Z,,,20.9274331611,21.0502018589,21.2678835657,,,,350,-159.845595939
0.75,,2020-03-01T10:57:20.550000Z,236.541801461,1182.70900731,1583060240.2,2020-03-01T10:57:20.200000Z,,2020-03-01T10:57:19.800000Z,,,21.1576970125,21.269921806,21.5408566558,,,,350,-160.076274701
0.6,,2020-03-01T10:57:42.250000Z,78.2699661319,391.349830659,1583060262.0,2020-03-01T10:57:42.000000Z,,2020-03-01T10:57:41.650000Z,,,17.5352565895,17.5880937426,18.5306260768,,,,350,-160.862940273
0.75,,2020-03-01T10:58:02.150000Z,203.208714498,1016.04357249,1583060281.8,2020-03-01T10:58:01.800000Z,,2020-03-01T10:58:01.400000Z,,,20.633967476,20.786640526,21.0270278546,,,,350,-160.732487105
0.6,,2020-03-01T10:58:22.700000Z,122.866808325,614.334041626,1583060302.45,2020-03-01T10:58:22.450000Z,,2020-03-01T10:58:22.100000Z,,,17.7027884827,17.7561845041,18.7548133822,,,,350,-160.083752014
0.75,,2020-03-01T10:58:43.300000Z,326.551859659,1632.7592983,1583060322.95,2020-03-01T10:58:42.950000Z,,2020-03-01T10:58:42.550000Z,,,20.989129287,21.0592966526,21.3370325422,,,,350,-159.646481486
0.65,,2020-03-01T10:59:03.350000Z,147.051739832,735.258699158,1583060343.1,2020-03-01T10:59:03.100000Z,,2020-03-01T10:59:02.700000Z,,,18.3773092404,18.5041541058,19.3244660085,,,,350,-160.040371994
0.75,,2020-03-01T10:59:23.550000Z,366.106903924,1830.53451962,1583060363.2,2020-03-01T10:59:23.200000Z,,2020-03-01T10:59:22.800000Z,,,20.7584027772,20.8199345432,21.0989905362,,,,350,-159.222738027
0.6,,2020-03-01T10:59:43.800000Z,105.191653592,525.958267958,1583060383.55,2020-03-01T10:59:43.550000Z,,2020-03-01T10:59:43.200000Z,,,18.1019977162,18.2047444258,18.9939859943,,,,350,-160.252219259
0.75,,2020-03-01T11:00:04.200000Z,371.456057201,1857.28028601,1583060403.85,2020-03-01T11:00:03.850000Z,,2020-03-01T11:00:03.450000Z,,,21.026078856,21.0792691376,21.3782178308,,,,350,-159.322673592
0.65,,2020-03-01T11:00:25.800000Z,79.033544665,395.167723325,1583060425.55,2020-03-01T11:00:25.550000Z,,2020-03-01T11:00:25.150000Z,,,18.2101809464,18.2385395947,19.2886599141,,,,350,-160.889579522
0.75,,2020-03-01T11:00:45.750000Z,247.149250232,1235.74625116,1583060445.4,2020-03-01T11:00:45.400000Z,,2020-03-01T11:00:45.000000Z,,,20.816882817,20.9407532309,21.1774941068,,,,350,-160.248818086
0.75,,2020-03-01T11:01:59.900000Z,165.513572684,827.567863418,1583060519.55,2020-03-01T11:01:59.550000Z,,2020-03-01T11:01:59.150000Z,,,20.6653290865,20.9107236059,21.0337797459,,,,350,-160.690807
0.75,,2020-03-01T11:02:41.850000Z,166.326887867,831.634439337,1583060561.5,2020-03-01T11:02:41.500000Z,,2020-03-01T11:02:41.100000Z,,,21.0423008038,21.1321917789,21.3475550427,,,,350,-160.653737862
0.55,,2020-03-01T11:03:03.400000Z,81.1701083362,399.537760312,1583060583.2,2020-03-01T11:03:03.200000Z,,2020-03-01T11:03:02.850000Z,,,17.6985095118,17.7121204854,18.5599838261,,,,350,-160.878259527
0.8,,2020-03-01T11:03:23.600000Z,335.37685222,1676.8842611,1583060603.25,2020-03-01T11:03:23.250000Z,,2020-03-01T11:03:22.800000Z,,,20.9967360881,21.2483065532,21.5424480849,,,,350,-159.324545019
0.6,,2020-03-01T11:03:45.400000Z,131.770712332,658.853561662,1583060625.2,2020-03-01T11:03:45.200000Z,,2020-03-01T11:03:44.800000Z,,,17.7586506668,17.7954724349,18.8053795582,,,,350,-159.817507722
0.75,,2020-03-01T11:04:05.550000Z,151.347039858,756.735199288,1583060645.2,2020-03-01T11:04:05.200000Z,,2020-03-01T11:04:04.800000Z,,,20.641175691,20.8566511558,21.0030468021,,,,350,-160.882288287
0.55,,2020-03-01T11:04:25.750000Z,75.3911321227,376.955660614,1583060665.5,2020-03-01T11:04:25.500000Z,,2020-03-01T11:04:25.200000Z,,,17.3319768379,17.3443370372,18.5299628837,,,,350,-160.645690992
0.75,,2020-03-01T11:04:45.450000Z,169.339779195,846.698895976,1583060685.1,2020-03-01T11:04:45.100000Z,,2020-03-01T11:04:44.700000Z,,,20.7819242528,21.0515181485,21.2250225119,,,,350,-161.047009648
0.6,,2020-03-01T11:05:06.650000Z,87.4539113816,437.269556908,1583060706.4,2020-03-01T11:05:06.400000Z,,2020-03-01T11:05:06.050000Z,,,17.6520994288,17.6780652857,18.7895019315,,,,350,-160.254118259
0.75,,2020-03-01T11:06:02.400000Z,114.68276733,573.413836649,1583060762.05,2020-03-01T11:06:02.050000Z,,2020-03-01T11:06:01.650000Z,,,21.2951635379,21.4817313274,21.6916118398,,,,350,-161.712761585
0.55,,2020-03-01T11:06:26.400000Z,72.4911654181,362.45582709,1583060786.2,2020-03-01T11:06:26.200000Z,,2020-03-01T11:06:25.850000Z,,,18.0919914511,18.0091134302,18.295105337,,,,350,-160.608125636
0.8,,2020-03-01T11:06:42.550000Z,104.633146432,523.165732159,1583060802.15,2020-03-01T11:06:42.150000Z,,2020-03-01T11:06:41.750000Z,,,21.0962684695,21.3927863205,21.5330538069,,,,350,-161.353044861
0.8,,2020-03-01T11:07:24.400000Z,130.661759239,653.308796195,1583060844.05,2020-03-01T11:07:24.050000Z,,2020-03-01T11:07:23.600000Z,,,20.5553786088,20.8297355336,21.0783154214,,,,350,-160.957868996
0.75,,2020-03-01T11:08:05.250000Z,98.3398839574,491.699419787,1583060884.9,2020-03-01T11:08:04.900000Z,,2020-03-01T11:08:04.500000Z,,,20.8579304539,21.0000421353,21.2311214656,,,,350,-162.035079158
0.75,,2020-03-01T11:08:45.400000Z,127.741068809,638.705344047,1583060925.05,2020-03-01T11:08:45.050000Z,,2020-03-01T11:08:44.650000Z,,,20.4236047202,20.6647463638,20.7546325552,,,,350,-160.852412755
0.75,,2020-03-01T11:10:01.900000Z,132.23896876,661.194843798,1583061001.6,2020-03-01T11:10:01.600000Z,,2020-03-01T11:10:01.150000Z,,,21.1766770345,21.2815080448,21.5432941998,,,,350,-161.389804563
0.8,,2020-03-01T11:10:43.700000Z,130.115414065,650.577070326,1583061043.35,2020-03-01T11:10:43.350000Z,,2020-03-01T11:10:42.900000Z,,,21.3413969567,21.5171072525,21.6793798431,,,,350,-161.418432355
0.75,,2020-03-01T11:11:25.800000Z,99.7769574382,498.884787191,1583061085.45,2020-03-01T11:11:25.450000Z,,2020-03-01T11:11:25.050000Z,,,20.8664396478,20.9979286035,21.2973472484,,,,350,-161.858613235
0.75,,2020-03-01T11:12:19.350000Z,293.9628893,1469.8144465,1583061139.0,2020-03-01T11:12:19.000000Z,,2020-03-01T11:12:18.600000Z,,,20.9809328483,21.0543881063,21.2715445177,,,,350,-159.642758603
0.6,,2020-03-01T11:12:40.900000Z,84.8187887642,424.093943821,1583061160.7,2020-03-01T11:12:40.700000Z,,2020-03-01T11:12:40.300000Z,,,17.9530597712,17.9842745059,18.8485312675,,,,350,-160.183311782
0.8,,2020-03-01T11:13:01.600000Z,230.109066498,1150.54533249,1583061181.25,2020-03-01T11:13:01.250000Z,,2020-03-01T11:13:00.800000Z,,,21.0014948559,21.1101777308,21.2796489929,,,,350,-160.152091371
0.75,,2020-03-01T11:13:44.900000Z,220.218979161,1101.09489581,1583061224.55,2020-03-01T11:13:44.550000Z,,2020-03-01T11:13:44.150000Z,,,21.0824719045,21.1154509989,21.3359410917,,,,350,-160.656544597
1.0,,2020-03-01T11:16:42.050000Z,292.701173547,1463.50586773,1583061401.5,2020-03-01T11:16:41.500000Z,,2020-03-01T11:16:41.050000Z,,,21.1539243361,21.1585278515,21.1585278515,,,,350,-159.934152974
0.55,,2020-03-01T11:16:59.250000Z,81.0588104426,405.294052213,1583061419.0,2020-03-01T11:16:59.000000Z,,2020-03-01T11:16:58.700000Z,,,17.3897196096,17.5144927321,17.6927968429,,,,350,-160.51065484
0.8,,2020-03-01T11:17:22.550000Z,268.977288917,1344.88644458,1583061442.15,2020-03-01T11:17:22.150000Z,,2020-03-01T11:17:21.750000Z,,,20.8349252771,20.8503935624,20.8545646345,,,,350,-159.729827072
0.5,,2020-03-01T11:17:43.050000Z,83.464244311,417.321221555,1583061462.85,2020-03-01T11:17:42.850000Z,,2020-03-01T11:17:42.550000Z,,,17.0962888079,17.1788963206,17.4839691441,,,,350,-160.108843018
0.85,,2020-03-01T11:18:06.450000Z,339.682568566,1698.41284283,1583061486.0,2020-03-01T11:18:06.000000Z,,2020-03-01T11:18:05.600000Z,,,20.7558231061,20.8550418331,20.8796064083,,,,350,-159.626108723
0.6,,2020-03-01T11:18:28.300000Z,126.654705054,633.273525271,1583061508.1,2020-03-01T11:18:28.100000Z,,2020-03-01T11:18:27.700000Z,,,17.415383365,17.405720717,18.2384003607,,,,350,-159.835873926
0.85,,2020-03-01T11:18:49.050000Z,331.372913819,1656.8645691,1583061528.6,2020-03-01T11:18:48.600000Z,,2020-03-01T11:18:48.200000Z,,,21.2423554066,21.4087675354,21.4037036841,,,,350,-158.835155739
0.6,,2020-03-01T11:19:09.300000Z,131.440850069,657.204250344,1583061549.05,2020-03-01T11:19:09.050000Z,,2020-03-01T11:19:08.700000Z,,,17.4259012429,17.4260166726,18.1186688743,,,,350,-159.530253457
0.95,,2020-03-01T11:19:30.050000Z,344.920322163,1724.60161081,1583061569.55,2020-03-01T11:19:29.550000Z,,2020-03-01T11:19:29.100000Z,,,21.4386654165,21.6786045413,21.6799638065,,,,350,-158.842275152
0.5,,2020-03-01T11:19:50.650000Z,92.4479110096,462.239555048,1583061590.45,2020-03-01T11:19:50.450000Z,,2020-03-01T11:19:50.150000Z,,,17.1779259792,17.1377684652,17.5682284311,,,,350,-160.113184882
0.9,,2020-03-01T11:20:11.250000Z,335.834006254,1679.17003127,1583061610.8,2020-03-01T11:20:10.800000Z,,2020-03-01T11:20:10.350000Z,,,21.2605835529,21.4040212242,21.3970053896,,,,350,-158.794165546
0.6,,2020-03-01T11:20:31.800000Z,108.06857825,540.342891252,1583061631.55,2020-03-01T11:20:31.550000Z,,2020-03-01T11:20:31.200000Z,,,17.3370391176,17.3917836615,17.9664567342,,,,350,-159.241334483
1.0,,2020-03-01T11:20:48.050000Z,101.984607634,509.923038172,1583061647.5,2020-03-01T11:20:47.500000Z,,2020-03-01T11:20:47.050000Z,,,20.2501371794,20.4959175435,20.4959175435,,,,350,-161.705176902
0.55,,2020-03-01T11:21:08.500000Z,106.496112933,532.480564666,1583061668.3,2020-03-01T11:21:08.300000Z,,2020-03-01T11:21:07.950000Z,,,17.222747023,17.2201002573,17.8333935843,,,,350,-159.474088698
0.75,,2020-03-01T11:21:25.000000Z,308.762047704,1543.81023852,1583061684.65,2020-03-01T11:21:24.650000Z,,2020-03-01T11:21:24.250000Z,,,21.0528978168,21.1056114194,21.3510206827,,,,350,-159.828353497
0.6,,2020-03-01T11:21:50.950000Z,129.590686696,647.95343348,1583061710.75,2020-03-01T11:21:50.750000Z,,2020-03-01T11:21:50.350000Z,,,17.2810311487,17.3135237742,17.9754912034,,,,350,-158.986817884
0.75,,2020-03-01T11:22:07.500000Z,280.695360148,1403.47680074,1583061727.15,2020-03-01T11:22:07.150000Z,,2020-03-01T11:22:06.750000Z,,,20.8984216501,21.0207562165,21.2283682642,,,,350,-159.751080442
0.55,,2020-03-01T11:22:30.900000Z,94.2358450995,471.179225498,1583061750.7,2020-03-01T11:22:30.700000Z,,2020-03-01T11:22:30.350000Z,,,17.8750920411,17.9162312295,18.8102298332,,,,350,-160.384987432
0.55,,2020-03-01T11:23:05.300000Z,106.169563887,530.847819434,1583061785.1,2020-03-01T11:23:05.100000Z,,2020-03-01T11:23:04.750000Z,,,17.1181073897,17.105287349,17.766718645,,,,350,-159.771604059
0.75,,2020-03-01T11:23:21.800000Z,299.859846989,1499.29923494,1583061801.45,2020-03-01T11:23:21.450000Z,,2020-03-01T11:23:21.050000Z,,,20.7609809555,20.9644448171,21.1516474477,,,,350,-159.991826022
0.9,,2020-03-01T11:23:37.650000Z,137.409127244,641.799979014,1583061817.25,2020-03-01T11:23:37.250000Z,,2020-03-01T11:23:36.750000Z,,,20.8744780276,20.8280158598,20.8541822375,,,,350,-160.721184358
0.85,,2020-03-01T11:24:06.700000Z,240.153067774,1200.76533887,1583061846.25,2020-03-01T11:24:06.250000Z,,2020-03-01T11:24:05.850000Z,,,21.123078883,21.3511026569,21.3873909205,,,,350,-159.480519383
0.55,,2020-03-01T11:24:26.200000Z,101.328025823,506.640129116,1583061866.0,2020-03-01T11:24:26.000000Z,,2020-03-01T11:24:25.650000Z,,,17.6742185067,17.7147291993,17.9905284271,,,,350,-160.120902725
0.75,,2020-03-01T11:25:15.150000Z,112.243132654,561.215663271,1583061914.8,2020-03-01T11:25:14.800000Z,,2020-03-01T11:25:14.400000Z,,,20.9960341061,21.2166495731,21.4219131507,,,,350,-161.645084594
1.0,,2020-03-01T11:26:00.400000Z,102.888758065,514.443790326,1583061959.85,2020-03-01T11:25:59.850000Z,,2020-03-01T11:25:59.400000Z,,,20.6842189025,20.9563198972,20.9563198972,,,,350,-162.20063111
0.75,,2020-03-01T11:26:38.300000Z,225.106782059,1125.53391029,1583061997.95,2020-03-01T11:26:37.950000Z,,2020-03-01T11:26:37.550000Z,,,20.9515932232,21.0901352944,21.2342725684,,,,350,-160.260469449
0.75,,2020-03-01T11:27:21.050000Z,195.440994465,977.204972327,1583062040.7,2020-03-01T11:27:20.700000Z,,2020-03-01T11:27:20.300000Z,,,20.6215666,20.7606178899,20.9985751465,,,,350,-160.611721356
0.75,,2020-03-01T11:28:02.000000Z,196.085143394,980.425716971,1583062081.65,2020-03-01T11:28:01.650000Z,,2020-03-01T11:28:01.250000Z,,,20.9566222861,21.1382245274,21.2756470452,,,,350,-160.696684515
0.6,,2020-03-01T11:28:22.400000Z,71.5782237987,357.891118993,1583062102.15,2020-03-01T11:28:22.150000Z,,2020-03-01T11:28:21.800000Z,,,17.5987230262,17.7016126494,18.7745922643,,,,350,-161.093612381
