duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold
0.48,1444097129.12,2015-10-06T02:05:29.120000Z,1115.35658302,5576.78291508,1444097128.88,2015-10-06T02:05:28.880000Z,1444097128.64,2015-10-06T02:05:28.640000Z,,,,,,,,,0.5
0.76,1444097136.56,2015-10-06T02:05:36.560000Z,5.21390419937,26.0695209968,1444097136.12,2015-10-06T02:05:36.120000Z,1444097135.8,2015-10-06T02:05:35.800000Z,,,,,,,,,0.5
0.56,1444097143.08,2015-10-06T02:05:43.080000Z,11.9683226724,59.8416133618,1444097142.8,2015-10-06T02:05:42.800000Z,1444097142.52,2015-10-06T02:05:42.520000Z,,,,,,,,,0.5
0.52,1444097149.04,2015-10-06T02:05:49.040000Z,457.876632323,2289.38316161,1444097148.84,2015-10-06T02:05:48.840000Z,1444097148.52,2015-10-06T02:05:48.520000Z,,,,,,,,,0.5
1.12,1444097156.32,2015-10-06T02:05:56.320000Z,3.16270556835,15.8135278417,1444097155.48,2015-10-06T02:05:55.480000Z,1444097155.2,2015-10-06T02:05:55.200000Z,,,,,,,,,0.5
0.44,1444097162.16,2015-10-06T02:06:02.160000Z,1.36420107325,6.82100536624,1444097161.96,2015-10-06T02:06:01.960000Z,1444097161.72,2015-10-06T02:06:01.720000Z,,,,,,,,,0.5
0.52,1444097167.4,2015-10-06T02:06:07.400000Z,1147.89662109,5739.48310546,1444097167.16,2015-10-06T02:06:07.160000Z,1444097166.88,2015-10-06T02:06:06.880000Z,,,,,,,,,0.5
1.04,1444097173.96,2015-10-06T02:06:13.960000Z,7.12316204977,35.6158102489,1444097173.64,2015-10-06T02:06:13.640000Z,1444097172.92,2015-10-06T02:06:12.920000Z,,,,,,,,,0.5
0.72,1444097179.12,2015-10-06T02:06:19.120000Z,5.23830349707,26.1915174854,1444097178.68,2015-10-06T02:06:18.680000Z,1444097178.4,2015-10-06T02:06:18.400000Z,,,,,,,,,0.5
0.52,1444097187.28,2015-10-06T02:06:27.280000Z,282.654523503,1413.27261751,1444097187.08,2015-10-06T02:06:27.080000Z,1444097186.76,2015-10-06T02:06:26.760000Z,,,,,,,,,0.5
0.52,1444097193.68,2015-10-06T02:06:33.680000Z,7.19403092332,35.9701546166,1444097193.44,2015-10-06T02:06:33.440000Z,1444097193.16,2015-10-06T02:06:33.160000Z,,,,,,,,,0.5
0.48,1444097199.32,2015-10-06T02:06:39.320000Z,2.1943081066,10.971540533,1444097199.12,2015-10-06T02:06:39.120000Z,1444097198.84,2015-10-06T02:06:38.840000Z,,,,,,,,,0.5
0.48,1444097205.48,2015-10-06T02:06:45.480000Z,5.74029040928,28.7014520464,1444097205.24,2015-10-06T02:06:45.240000Z,1444097205.0,2015-10-06T02:06:45.000000Z,,,,,,,,,0.5
0.4,1444097210.84,2015-10-06T02:06:50.840000Z,0.933682003595,4.66841001798,1444097210.64,2015-10-06T02:06:50.640000Z,1444097210.44,2015-10-06T02:06:50.440000Z,,,,,,,,,0.5
0.52,1444097216.56,2015-10-06T02:06:56.560000Z,9.75624790525,48.7812395263,1444097216.32,2015-10-06T02:06:56.320000Z,1444097216.04,2015-10-06T02:06:56.040000Z,,,,,,,,,0.5
