time,frequency
1446153061.74,22.5876984127
1446153097.61,22.5876984127
1446153132.68,22.5436507937
1446153175.27,17.0693877551
1446153180.37,19.2993197279
1446153185.98,16.4258503401
1446153199.19,21.6040816327
1446153202.19,24.0884353741
1446153194.2,21.0802721088
1446153172.11,22.0829931973
1446153219.22,19.1197278912
1446153222.7,19.4639455782
1446153237.07,22.0943877551
1446153240.03,22.243622449
1446153243.03,22.0612244898
1446153234.52,22.0778061224
1446153258.39,18.6454081633
1446153263.55,16.9706632653
1446153275.99,21.7295918367
1446153279.31,21.0829081633
1446153295.91,19.9387755102
1446153313.64,21.5396825397
1446153320.34,21.2789115646
1446153316.89,21.5885770975
1446153340.88,18.9808673469
1446153359.96,21.8982426304
1446153363.04,20.9529478458
1446153366.21,21.2952097506
1446153369.66,21.3278061224
1446153343.72,20.072845805
1446153323.62,22.1427154195
1446153379.93,18.1659580499
1446153382.93,17.1391723356
1446153386.43,16.9761904762
1446153397.86,21.7224489796
1446153395.18,21.8433106576
1446153400.46,21.7073412698
1446153403.46,19.9699546485
1446153422.7,19.6678004535
1446153425.95,20.121031746
1446153429.04,19.758446712
1446153441.38,21.7224489796
1446153444.42,22.3418650794
1446153446.98,22.3569727891
1446153462.12,17.6886904762
1446153465.29,19.154138322
1446153536.74,23.6612244898
1446153505.98,18.0358843537
1446153508.58,17.4420068027
1446153490.46,21.6651360544
1446153484.37,21.1537414966
1446153481.04,21.5166666667
1446153547.25,19.2236394558
1446153550.9,16.468707483
1446153567.11,21.7180272109
1446153569.81,21.1674603175
1446153572.68,21.1158446712
1446153576.84,22.1137471655
1446153587.47,17.089824263
1446153590.37,17.2274659864
1450270806.9,17.3548641973
1450270810.18,16.6885065686
1450270812.5,19.8098659871
1450270816.71,17.2145783807
1450270820.27,22.9136896784
1450270823.28,22.9838325867
1450270826.44,22.9838325867
1450270829.52,23.4397614905
1450270833.73,20.9321525195
1450270837.65,17.1444354725
1450270840.77,16.8813995664
1450270843.82,19.9852232578
1450270852.42,22.7207966807
1450270854.79,22.9136896784
1450270857.95,24.5269765688
1450270861.47,23.0715112221
1450270871.24,18.6349722734
1450270874.13,16.9340067476
1450270877.29,17.0567568371
1450270894.15,17.3524844936
1450270896.97,16.8816177482
1450270907.96,22.6132026145
1450270911.03,21.2168391627
1450270914.02,20.3075792405
1450270917.16,23.6523568113
1450270929.08,17.3362477093
1450270932.11,16.8004338266
1450270935.11,17.9694822979
1450270944.99,22.5644922616
1450270947.61,23.2626739875
1450270950.64,24.5616167334
1450270953.91,23.9608557134
1450270965.15,17.2714460265
1450270967.96,16.8096718803
